dataset,split,user,history_length,lag,item,target,raw_cosine,random_cosine,excess_cosine,raw_cosine_z,random_cosine_z,excess_cosine_z,raw_cluster_match,random_cluster_match,excess_cluster_match,matching_widened_bins
amazon-sports-and-outdoors,valid,11,6,1,1554,278373,0.08355119824409485,0.07721871137619019,0.006332486867904663,-0.5647650896271572,-0.6771031331207904,0.11233804349363319,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,11,6,2,208951,278373,0.07609735429286957,0.0746091827750206,0.0014881715178489685,-0.6969959593398911,-0.7233960577823251,0.02640009844243396,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,11,6,3,199105,278373,0.05700921639800072,0.05624689534306526,0.0007623210549354553,-1.0356187010489115,-1.0491422436336573,0.013523542584745751,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,11,6,4,164025,278373,0.044676706194877625,0.08397700637578964,-0.03930030018091202,-1.2543968993276757,-0.5572112717644286,-0.6971856275632471,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,11,6,5,213048,278373,0.07418864965438843,0.08556973189115524,-0.011381082236766815,-0.7308562971766662,-0.5289563899224449,-0.20189990725422136,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,11,6,6,7276,278373,0.028775488957762718,0.05589539557695389,-0.02711990661919117,-1.5364838062328283,-1.0553778343008176,-0.48110597193201077,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,585,3,1,18362,19210,0.2075476050376892,0.14998024702072144,0.05756735801696777,1.6349258106466127,0.6136833661496809,1.0212424444969317,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,585,3,2,11667,19210,0.16042862832546234,0.17258310317993164,-0.0121544748544693,0.7990371991594327,1.0146570580436312,-0.21561985888419843,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,585,3,3,11571,19210,0.17811265587806702,0.13311943411827087,0.04499322175979614,1.112751084049722,0.3145732735929096,0.7981778104568122,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,802,4,1,192819,32887,0.21529152989387512,0.17598089575767517,0.03931063413619995,1.7723027030827894,1.0749337515991277,0.6973689514836616,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,802,4,2,192819,32887,0.21529152989387512,0.1480485498905182,0.06724298000335693,1.7723027030827894,0.579415142502957,1.1928875605798324,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,802,4,3,297822,32887,0.19985836744308472,0.15333983302116394,0.046518534421920776,1.4985190678685771,0.6732822766742582,0.8252367911943189,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,802,4,4,297822,32887,0.19985836744308472,0.17050661146640778,0.02935175597667694,1.4985190678685771,0.9778201847434582,0.5206988831251189,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,1962,5,1,33903,22320,0.4472472667694092,0.1300966590642929,0.31715060770511627,5.887187455515532,0.2609493747094673,5.626238080806065,1.0,0.0,1.0,0
amazon-sports-and-outdoors,valid,1962,5,2,155531,22320,0.290042519569397,0.10105375945568085,0.18898876011371613,3.0983820309250403,-0.2542704097877791,3.3526524407128195,1.0,0.0,1.0,0
amazon-sports-and-outdoors,valid,1962,5,3,844,22320,0.11245883256196976,0.10647517442703247,0.005983658134937286,-0.0519449055445639,-0.15809474238363128,0.10614983683906737,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,1962,5,4,82136,22320,0.15052539110183716,0.1313444972038269,0.019180893898010254,0.6233541986002089,0.28308596940222,0.34026822919798894,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,1962,5,5,53960,22320,0.2794507145881653,0.10118533670902252,0.17826537787914276,2.910483868089782,-0.25193623499721046,3.1624201030869923,1.0,0.0,1.0,0
amazon-sports-and-outdoors,valid,2571,3,1,58097,2254,0.06317451596260071,0.11403363943099976,-0.05085912346839905,-0.9262465530939513,-0.02400789971454602,-0.9022386533794053,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,2571,3,2,33846,2254,0.14203888177871704,0.11991723626852036,0.022121645510196686,0.47280388979787186,0.08036685403067444,0.3924370357671974,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,2571,3,3,270984,2254,0.23181584477424622,0.12133077532052994,0.11048506945371628,2.0654433352634993,0.10544297575299937,1.9600003595105,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,2579,3,1,34143,53665,0.12420915067195892,0.14555588364601135,-0.02134673297405243,0.1565052301508239,0.5351953510005428,-0.3786901208497189,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,2579,3,2,275341,53665,0.34433549642562866,0.14071567356586456,0.2036198228597641,4.061537095073213,0.4493302332601932,3.6122068618130196,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,2579,3,3,3171,53665,0.15031962096691132,0.16215822100639343,-0.011838600039482117,0.6197038452952301,0.8297200986063284,-0.2100162533110983,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,2644,6,1,265823,25961,0.13865602016448975,0.14749880135059357,-0.00884278118610382,0.41279207089018366,0.569662627152057,-0.1568705562618733,0.0,0.2,-0.2,0
amazon-sports-and-outdoors,valid,2644,6,2,122289,25961,0.2103128731250763,0.15428268909454346,0.05603018403053284,1.6839815470662027,0.6900085026876714,0.9939730443785313,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,2644,6,3,3198,25961,0.36502090096473694,0.17286306619644165,0.1921578347682953,4.428495278054276,1.01962358986302,3.4088716881912564,1.0,0.2,0.8,0
amazon-sports-and-outdoors,valid,2644,6,4,8523,25961,0.18022170662879944,0.16307708621025085,0.017144620418548584,1.1501655532635293,0.8460207276307479,0.30414482563278145,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,2644,6,5,46197,25961,0.16545604169368744,0.18047693371772766,-0.015020892024040222,0.8882232951437137,1.1546932707961295,-0.2664699756524158,0.0,0.15,-0.15,0
amazon-sports-and-outdoors,valid,2644,6,6,13123,25961,0.25032463669776917,0.15281516313552856,0.0975094735622406,2.3937885044667198,0.6639746555671324,1.7298138488995873,1.0,0.1,0.9,0
amazon-sports-and-outdoors,valid,3026,3,1,3554,3555,0.06822146475315094,0.14781932532787323,-0.07959786057472229,-0.8367138995614897,0.5753487086633968,-1.4120626082248866,0.0,0.2,-0.2,0
amazon-sports-and-outdoors,valid,3026,3,2,3553,3555,0.07767356187105179,0.1481839269399643,-0.0705103650689125,-0.6690341049900189,0.5818167255122794,-1.2508508305022983,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,3026,3,3,3552,3555,0.20325994491577148,0.12981750071048737,0.07344244420528412,1.5588629052968717,0.2559971175716969,1.3028657877251748,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,3281,4,1,248686,36112,0.1204836443066597,0.14399005472660065,-0.02350641041994095,0.09041490816026714,0.5074176136089528,-0.4170027054486856,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,3281,4,2,240394,36112,0.09823411703109741,0.1444830745458603,-0.04624895751476288,-0.3042907446004365,0.5161637639057538,-0.8204545085061903,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,3281,4,3,50424,36112,0.1651076078414917,0.14066939055919647,0.024438217282295227,0.8820420936569792,0.4485091747211778,0.43353291893580137,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,3281,4,4,5118,36112,0.17340171337127686,0.13155128061771393,0.04185043275356293,1.029179167476777,0.2867542982321996,0.7424248692445774,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,3407,5,1,75225,3138,0.1439032256603241,0.1631760448217392,-0.0192728191614151,0.5058772697239422,0.8477762491238584,-0.3418989793999162,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,3407,5,2,18293,3138,0.44751888513565063,0.15401940047740936,0.29349948465824127,5.892005953599619,0.6853377739929312,5.206668179606687,0.0,0.1,-0.1,0
