dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-sports-and-outdoors,valid,6106,37,27,0.7297297297297297,0.3,0.575,0.27499999999999997,0.3808603286743164,0.03194713592529297,-0.34891319274902344,0.40540540540540543,-0.09333333333333335
amazon-sports-and-outdoors,valid,9437,12,2,0.16666666666666666,0.4,0.475,0.07499999999999996,2.0104222297668457,1.4647431373596191,-0.5456790924072266,0.16666666666666666,-0.07500000000000001
amazon-sports-and-outdoors,valid,14969,30,20,0.6666666666666666,0.6,0.925,0.32500000000000007,0.7690091133117676,0.6120038032531738,-0.15700531005859375,0.16666666666666666,0.12
amazon-sports-and-outdoors,valid,16921,11,1,0.09090909090909091,0.4,0.425,0.024999999999999967,1.568084478378296,1.4395513534545898,-0.12853312492370605,0.09090909090909091,-0.1
amazon-sports-and-outdoors,valid,21549,16,6,0.375,0.2,0.375,0.175,-0.9749033451080322,-1.2256603240966797,-0.25075697898864746,0.1875,-0.21666666666666667
amazon-sports-and-outdoors,valid,24503,12,2,0.16666666666666666,0.75,0.5,-0.25,0.30474019050598145,0.409106969833374,0.10436677932739258,0.16666666666666666,-0.025
amazon-sports-and-outdoors,valid,26234,11,1,0.09090909090909091,0.95,0.425,-0.5249999999999999,0.27431607246398926,0.511054277420044,0.2367382049560547,0.0,nan
amazon-sports-and-outdoors,valid,28071,11,1,0.09090909090909091,0.7,0.45,-0.24999999999999994,1.938392162322998,1.9037506580352783,-0.03464150428771973,0.0,nan
amazon-sports-and-outdoors,valid,28835,13,3,0.23076923076923078,0.5,0.475,-0.025000000000000022,0.21360492706298828,0.24794745445251465,0.03434252738952637,0.15384615384615385,-0.2
amazon-sports-and-outdoors,valid,30460,38,28,0.7368421052631579,0.9,0.75,-0.15000000000000002,-0.2611064910888672,0.49294281005859375,0.7540493011474609,0.39473684210526316,-0.03666666666666666
amazon-sports-and-outdoors,valid,30612,13,3,0.23076923076923078,0.8,0.45,-0.35000000000000003,2.4352118968963623,2.44454288482666,0.009330987930297852,0.15384615384615385,0.0
amazon-sports-and-outdoors,valid,33476,11,1,0.09090909090909091,0.5,0.4,-0.09999999999999998,0.8138241767883301,0.767256498336792,-0.046567678451538086,0.09090909090909091,-0.05
amazon-sports-and-outdoors,valid,34419,17,7,0.4117647058823529,0.45,0.35,-0.10000000000000003,1.207920789718628,0.7336456775665283,-0.4742751121520996,0.17647058823529413,-0.016666666666666666
amazon-sports-and-outdoors,valid,38272,13,3,0.23076923076923078,0.5,0.35,-0.15000000000000002,-0.28261852264404297,-0.026276350021362305,0.25634217262268066,0.07692307692307693,0.0
amazon-sports-and-outdoors,valid,44095,16,6,0.375,0.6,0.35,-0.25,2.5927860736846924,1.922581672668457,-0.6702044010162354,0.3125,-0.01
amazon-sports-and-outdoors,valid,44415,19,9,0.47368421052631576,0.65,0.85,0.19999999999999996,0.19053196907043457,-0.05162358283996582,-0.2421555519104004,0.3157894736842105,0.07500000000000001
amazon-sports-and-outdoors,valid,44800,14,4,0.2857142857142857,0.1,0.825,0.725,-1.7010161876678467,-1.5368493795394897,0.16416680812835693,0.07142857142857142,-0.2
amazon-sports-and-outdoors,valid,45556,12,2,0.16666666666666666,0.0,0.4,0.4,-0.6937050819396973,-0.875598669052124,-0.18189358711242676,0.16666666666666666,0.0
amazon-sports-and-outdoors,valid,49428,11,1,0.09090909090909091,0.25,0.5,0.25,-0.4137110710144043,-0.4782447814941406,-0.06453371047973633,0.09090909090909091,0.0
amazon-sports-and-outdoors,valid,54371,16,6,0.375,0.4,0.325,-0.07500000000000001,1.043372631072998,0.6926379203796387,-0.3507347106933594,0.1875,-0.05000000000000001
amazon-sports-and-outdoors,valid,57779,31,21,0.6774193548387096,0.7,0.15,-0.5499999999999999,1.5633432865142822,0.9385349750518799,-0.6248083114624023,0.3870967741935484,-0.04166666666666668
amazon-sports-and-outdoors,valid,57876,68,58,0.8529411764705882,1.0,0.975,-0.025000000000000022,3.9581499099731445,3.5009140968322754,-0.45723581314086914,0.27941176470588236,-0.018421052631578946
amazon-sports-and-outdoors,valid,59916,12,2,0.16666666666666666,1.0,0.475,-0.525,0.7782862186431885,1.014603853225708,0.23631763458251953,0.08333333333333333,-0.2
amazon-sports-and-outdoors,valid,62891,16,6,0.375,0.95,0.975,0.025000000000000022,0.41921424865722656,0.746206521987915,0.3269922733306885,0.25,0.33749999999999997
amazon-sports-and-outdoors,valid,68983,51,41,0.803921568627451,1.0,0.975,-0.025000000000000022,2.549692153930664,1.8863236904144287,-0.6633684635162354,0.13725490196078433,-0.07142857142857144
amazon-sports-and-outdoors,valid,78133,19,9,0.47368421052631576,0.35,0.75,0.4,-0.3814818859100342,-0.72110915184021,-0.3396272659301758,0.2631578947368421,-0.02
amazon-sports-and-outdoors,valid,79863,12,2,0.16666666666666666,0.5,0.475,-0.025000000000000022,1.3138504028320312,1.2531332969665527,-0.060717105865478516,0.0,nan
amazon-sports-and-outdoors,valid,81370,16,6,0.375,0.9,0.3,-0.6000000000000001,2.0390586853027344,2.1619040966033936,0.12284541130065918,0.25,-0.037500000000000006
amazon-sports-and-outdoors,valid,85243,26,16,0.6153846153846154,0.9,0.9,0.0,2.7795753479003906,3.0737245082855225,0.29414916038513184,0.07692307692307693,0.0
amazon-sports-and-outdoors,valid,86405,14,4,0.2857142857142857,0.95,0.45,-0.49999999999999994,-0.7224783897399902,0.008492469787597656,0.7309708595275879,0.07142857142857142,0.0
amazon-sports-and-outdoors,valid,87846,20,10,0.5,1.0,0.9,-0.09999999999999998,-0.18118858337402344,-0.15854668617248535,0.022641897201538086,0.2,0.5125
amazon-sports-and-outdoors,valid,92997,15,5,0.3333333333333333,1.0,0.8,-0.19999999999999996,0.8436214923858643,1.8500421047210693,1.006420612335205,0.06666666666666667,-0.1
amazon-sports-and-outdoors,valid,95702,26,16,0.6153846153846154,0.3,0.625,0.325,-0.37618303298950195,-0.5031249523162842,-0.12694191932678223,0.2692307692307692,0.09285714285714285
amazon-sports-and-outdoors,valid,97001,11,1,0.09090909090909091,0.75,0.975,0.22499999999999998,1.1188015937805176,1.1065611839294434,-0.012240409851074219,0.0,nan
amazon-sports-and-outdoors,valid,102083,14,4,0.2857142857142857,1.0,0.825,-0.17500000000000004,3.1673288345336914,2.9809770584106445,-0.18635177612304688,0.21428571428571427,-0.049999999999999996
amazon-sports-and-outdoors,valid,107770,11,1,0.09090909090909091,0.55,0.45,-0.10000000000000003,0.6282603740692139,0.5693039894104004,-0.05895638465881348,0.0,nan
amazon-sports-and-outdoors,valid,108775,33,23,0.696969696969697,0.65,0.225,-0.42500000000000004,2.040598154067993,2.3421196937561035,0.30152153968811035,0.2727272727272727,-0.027777777777777776
amazon-sports-and-outdoors,valid,112771,18,8,0.4444444444444444,0.75,0.425,-0.325,2.9951984882354736,2.541905403137207,-0.4532930850982666,0.1111111111111111,-0.125
amazon-sports-and-outdoors,valid,113184,16,6,0.375,0.95,0.8,-0.1499999999999999,0.4891366958618164,0.6426515579223633,0.15351486206054688,0.0625,-0.2
amazon-sports-and-outdoors,valid,118656,43,33,0.7674418604651163,0.25,0.575,0.32499999999999996,-0.9131888151168823,-1.290520429611206,-0.37733161449432373,0.5116279069767442,-0.07045454545454546
