dataset,split,user,history_length,lag,item,target,raw_cosine,random_cosine,excess_cosine,raw_cluster_match,random_cluster_match,excess_cluster_match,matching_widened_bins
amazon-toys-and-games,valid,10,4,1,270286,63431,0.20060034096240997,0.10594804584980011,0.09465229511260986,0.0,0.0,0.0,0
amazon-toys-and-games,valid,10,4,2,47431,63431,0.13339683413505554,0.10637219995260239,0.027024634182453156,0.0,0.15,-0.15,0
amazon-toys-and-games,valid,10,4,3,62366,63431,0.103475421667099,0.10738150775432587,-0.0039060860872268677,0.0,0.15,-0.15,0
amazon-toys-and-games,valid,10,4,4,118380,63431,0.10182487964630127,0.10783813893795013,-0.006013259291648865,0.0,0.15,-0.15,0
amazon-toys-and-games,valid,528,3,1,11578,6008,0.208074152469635,0.21851372718811035,-0.010439574718475342,0.0,0.05,-0.05,0
amazon-toys-and-games,valid,528,3,2,10822,6008,0.09252970665693283,0.18062683939933777,-0.08809713274240494,0.0,0.0,0.0,0
amazon-toys-and-games,valid,528,3,3,31742,6008,0.14651057124137878,0.18838155269622803,-0.04187098145484924,0.0,0.05,-0.05,0
amazon-toys-and-games,valid,722,25,1,97903,101057,0.23549962043762207,0.10134635120630264,0.13415326923131943,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,2,143888,101057,0.09158839285373688,0.11720005422830582,-0.02561166137456894,0.0,0.05,-0.05,0
amazon-toys-and-games,valid,722,25,3,105804,101057,0.14270785450935364,0.10357008874416351,0.039137765765190125,0.0,0.15,-0.15,0
amazon-toys-and-games,valid,722,25,4,28219,101057,0.1722193956375122,0.0945868119597435,0.07763258367776871,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,5,156010,101057,0.13719256222248077,0.09631913155317307,0.04087343066930771,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,6,110132,101057,0.20185396075248718,0.10381685197353363,0.09803710877895355,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,7,248330,101057,0.12236364930868149,0.0973723977804184,0.024991251528263092,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,8,81808,101057,0.14945006370544434,0.09102895855903625,0.05842110514640808,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,9,169864,101057,0.17593571543693542,0.10822244733572006,0.06771326810121536,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,10,170978,101057,0.18523986637592316,0.09176763147115707,0.09347223490476608,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,11,144123,101057,0.15422624349594116,0.08694113790988922,0.06728510558605194,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,12,219253,101057,0.131047785282135,0.10504063218832016,0.02600715309381485,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,13,152290,101057,0.17110365629196167,0.10188915580511093,0.06921450048685074,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,14,91203,101057,0.2126603126525879,0.09190714359283447,0.12075316905975342,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,15,22140,101057,0.19674474000930786,0.09612015634775162,0.10062458366155624,0.0,0.0,0.0,0
amazon-toys-and-games,valid,722,25,16,64511,101057,0.14279189705848694,0.1136961579322815,0.029095739126205444,0.0,0.0,0.0,0
