dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-all-beauty,valid,1,35.05757546358181,22.977723212286655,0.0,63.880902315180414,1253
amazon-all-beauty,valid,2,59.89844867236602,66.69972223033055,19.184124932270393,100.0,1253
amazon-all-beauty,valid,3,74.67029865110645,100.0,49.66743158031787,100.0,1253
amazon-all-beauty,valid,4,82.3651693857407,100.0,78.05047461969126,100.0,1253
amazon-all-beauty,valid,5,87.19641246072842,100.0,99.99999999999999,100.0,1253
amazon-all-beauty,valid,6,89.5726511082388,100.0,99.99999999999999,100.0,1253
amazon-all-beauty,valid,7,91.22269194854229,100.0,100.0,100.0,1253
amazon-all-beauty,valid,8,92.60565414295965,100.0,100.0,100.0,1253
amazon-all-beauty,valid,9,93.85544007765989,100.0,100.0,100.0,1253
amazon-all-beauty,valid,10,94.70877558533147,100.0,100.0,100.0,1253
amazon-all-beauty,valid,11,95.4177212875976,100.0,100.0,100.0,1253
amazon-all-beauty,valid,12,95.86082517353144,100.0,100.0,100.0,1253
amazon-all-beauty,valid,13,96.20505367749446,100.0,100.0,100.0,1253
amazon-all-beauty,valid,14,96.7005191461848,100.0,100.0,100.0,1253
amazon-all-beauty,valid,15,97.12113101407812,100.0,100.0,100.0,1253
amazon-all-beauty,valid,16,97.41659175230826,100.0,100.0,100.0,1253
amazon-all-beauty,valid,17,97.70697979539781,100.0,100.0,100.0,1253
amazon-all-beauty,valid,18,97.97662890432827,100.0,100.0,100.0,1253
amazon-all-beauty,valid,19,98.20514728705345,100.0,100.0,100.0,1253
amazon-all-beauty,valid,20,98.41467253088567,100.0,100.0,100.0,1253
amazon-all-beauty,valid,21,98.53638257070006,100.0,100.0,100.0,1253
amazon-all-beauty,valid,22,98.63493006725527,100.0,100.0,100.0,1253
amazon-all-beauty,valid,23,98.76062946771734,100.0,100.0,100.0,1253
amazon-all-beauty,valid,24,98.87777402035236,100.0,100.0,100.0,1253
amazon-all-beauty,valid,25,98.98837156443687,100.0,100.0,100.0,1253
amazon-all-beauty,valid,26,99.09236903242582,100.0,100.0,100.0,1253
amazon-all-beauty,valid,27,99.14846182492043,100.0,100.0,100.0,1253
amazon-all-beauty,valid,28,99.24133217530651,100.0,100.0,100.0,1253
amazon-all-beauty,valid,29,99.32803723020642,100.0,100.0,100.0,1253
amazon-all-beauty,valid,30,99.37672925534933,100.0,100.0,100.0,1253
amazon-all-beauty,valid,31,99.44328049864306,100.0,100.0,100.0,1253
amazon-all-beauty,valid,32,99.49039350532617,100.0,100.0,100.0,1253
amazon-all-beauty,valid,33,99.54538443801505,100.0,100.0,100.0,1253
amazon-all-beauty,valid,34,99.58376428461148,100.0,100.0,100.0,1253
amazon-all-beauty,valid,35,99.60450896601739,100.0,100.0,100.0,1253
amazon-all-beauty,valid,36,99.63696152292277,100.0,100.0,100.0,1253
amazon-all-beauty,valid,37,99.65840380066784,100.0,100.0,100.0,1253
amazon-all-beauty,valid,38,99.67006366303548,100.0,100.0,100.0,1253
amazon-all-beauty,valid,39,99.69012728711586,100.0,100.0,100.0,1253
