dataset,split,user,history_length,lag,item,target,negative_count,margin_with_item,margin_without_item,margin_influence,target_score_influence,rank_with_item,rank_without_item,rank_improvement
amazon-all-beauty,test,0,15,1,268,269,64,0.07152175903320312,0.0100250244140625,0.061496734619140625,0.1044921875,3,28,25
amazon-all-beauty,test,0,15,2,692,269,64,0.07152175903320312,0.07233428955078125,-0.000812530517578125,0.00244140625,3,3,0
amazon-all-beauty,test,0,15,3,1516,269,64,0.07152175903320312,0.07123565673828125,0.000286102294921875,0.00146484375,3,3,0
amazon-all-beauty,test,0,15,4,645,269,64,0.07152175903320312,0.07437515258789062,-0.0028533935546875,0.00048828125,3,3,0
amazon-all-beauty,test,0,15,5,385,269,64,0.07152175903320312,0.07080459594726562,0.0007171630859375,0.0029296875,3,3,0
amazon-all-beauty,test,0,15,6,317,269,64,0.07152175903320312,0.0695343017578125,0.001987457275390625,0.00390625,3,3,0
amazon-all-beauty,test,0,15,7,296,269,64,0.07152175903320312,0.06942367553710938,0.00209808349609375,0.00390625,3,3,0
amazon-all-beauty,test,0,15,8,383,269,64,0.07152175903320312,0.0740966796875,-0.002574920654296875,0.00048828125,3,3,0
amazon-all-beauty,test,0,15,9,3185,269,64,0.07152175903320312,0.0724029541015625,-0.000881195068359375,0.00146484375,3,3,0
amazon-all-beauty,test,0,15,10,330,269,64,0.07152175903320312,0.07381057739257812,-0.002288818359375,-0.0009765625,3,3,0
amazon-all-beauty,test,0,15,11,61,269,64,0.07152175903320312,0.07157135009765625,-4.9591064453125e-05,0.001953125,3,3,0
amazon-all-beauty,test,0,15,12,707,269,64,0.07152175903320312,0.073577880859375,-0.002056121826171875,0.0,3,3,0
amazon-all-beauty,test,0,15,13,60,269,64,0.07152175903320312,0.07012557983398438,0.00139617919921875,0.00341796875,3,3,0
amazon-all-beauty,test,0,15,14,212,269,64,0.07152175903320312,0.07090377807617188,0.00061798095703125,0.0029296875,3,3,0
amazon-all-beauty,test,0,15,15,335,269,64,0.07152175903320312,0.07330322265625,-0.001781463623046875,0.0009765625,3,3,0
